2016-08-23 19:29:42,416 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-08-23 19:29:51,628 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @20717ms
2016-08-23 19:29:51,983 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2016-08-23 19:29:52,073 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@2668f7bc{/help,null,AVAILABLE}
2016-08-23 19:29:52,134 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@28fa2b27{HTTP/1.1,[http/1.1]}{127.0.0.1:61013}
2016-08-23 19:29:52,134 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @21224ms
2016-08-23 19:50:10,653 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@28fa2b27{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2016-08-23 19:50:10,753 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@2668f7bc{/help,null,UNAVAILABLE}
2016-08-24 04:44:32,280 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-08-25 13:02:12,547 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-08-26 11:21:06,587 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-08-26 16:12:44,496 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-08-26 16:12:57,100 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Updating Gradle version information cache failed. Using outdated cache.
2016-08-29 12:20:38,848 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
